model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,market_value
 4 Series,2019,31480,Automatic,5757,Diesel,145,47.9,3.0,31511.336
 3 Series,2020,30995,Semi-Auto,1501,Petrol,145,42.2,2.0,31508.62
 4 Series,2020,28990,Semi-Auto,100,Diesel,145,52.3,3.0,31501.781
 3 Series,2019,31450,Semi-Auto,3965,Petrol,145,40.9,2.0,31494.48
 4 Series,2019,31480,Automatic,6035,Diesel,145,50.4,3.0,31491.19
 5 Series,2019,30890,Automatic,123,Petrol,145,47.9,2.0,31485.955
 Z4,2019,29980,Semi-Auto,1817,Petrol,145,38.7,2.0,31485.455
 M4,2016,32983,Automatic,33113,Petrol,300,34.0,3.0,31466.832
 3 Series,2019,33480,Automatic,1000,Diesel,145,50.4,2.0,31461.457
 3 Series,2019,30980,Automatic,1000,Diesel,145,50.4,2.0,31461.457
 3 Series,2019,31980,Automatic,4869,Diesel,145,50.4,2.0,31456.969
 1 Series,2020,30440,Semi-Auto,1500,Petrol,145,34.5,2.0,31451.041
 1 Series,2020,30440,Semi-Auto,1500,Petrol,145,34.5,2.0,31451.041
 2 Series,2020,34950,Semi-Auto,1107,Diesel,145,62.8,2.0,31442.734
 2 Series,2020,31995,Semi-Auto,1000,Diesel,145,62.8,2.0,31442.734
 3 Series,2019,32940,Semi-Auto,7258,Diesel,145,49.6,2.0,31442.693
 4 Series,2019,31480,Automatic,6822,Diesel,145,50.4,3.0,31440.016
 4 Series,2019,30450,Automatic,10638,Petrol,145,39.2,3.0,31439.953
 1 Series,2019,29995,Semi-Auto,4591,Petrol,145,34.5,2.0,31430.84
 1 Series,2019,29995,Semi-Auto,4628,Petrol,145,34.5,2.0,31430.84
 X2,2019,30266,Automatic,123,Diesel,145,58.9,2.0,31429.98
 X2,2019,30571,Automatic,123,Diesel,145,58.9,2.0,31429.98
 1 Series,2020,31016,Semi-Auto,101,Diesel,145,48.7,2.0,31419.467
 4 Series,2020,27500,Semi-Auto,25,Diesel,145,60.1,2.0,31405.865
 3 Series,2019,35450,Automatic,6500,Diesel,145,50.4,2.0,31404.6
 4 Series,2019,35950,Automatic,9250,Diesel,145,50.4,3.0,31399.184
 3 Series,2019,37995,Semi-Auto,3437,Petrol,145,41.5,2.0,31391.59
 3 Series,2019,30326,Semi-Auto,3392,Petrol,145,41.5,2.0,31391.59
 3 Series,2019,33475,Semi-Auto,8576,Diesel,145,49.6,2.0,31389.416
 5 Series,2020,31450,Semi-Auto,8,Hybrid,145,60.1,2.0,31386.25
 X1,2020,32995,Automatic,1593,Diesel,145,50.4,2.0,31376.88
 5 Series,2018,31490,Semi-Auto,11798,Petrol,150,39.2,3.0,31358.86
 5 Series,2019,31450,Semi-Auto,500,Diesel,145,62.8,2.0,31358.295
 X5,2016,32499,Automatic,27851,Diesel,205,47.1,3.0,31354.273
 5 Series,2019,33444,Semi-Auto,4118,Petrol,145,46.3,2.0,31353.35
 7 Series,2017,30972,Semi-Auto,15405,Diesel,145,54.3,3.0,31346.74
 X1,2020,31498,Semi-Auto,1560,Diesel,145,60.1,2.0,31341.602
 3 Series,2019,31000,Semi-Auto,1397,Diesel,145,50.4,2.0,31339.113
 X1,2020,29970,Semi-Auto,1241,Diesel,145,60.1,2.0,31336.79
 X5,2016,32809,Automatic,25898,Diesel,205,47.1,3.0,31332.182
 5 Series,2020,27090,Semi-Auto,3168,Hybrid,145,49.6,2.0,31330.012
 5 Series,2019,30995,Automatic,4000,Diesel,145,60.1,2.0,31323.348
 3 Series,2020,29999,Semi-Auto,9,Diesel,145,50.4,2.0,31321.684
 3 Series,2020,29990,Semi-Auto,9,Diesel,145,50.4,2.0,31321.684
 3 Series,2019,32990,Semi-Auto,9503,Diesel,145,49.6,2.0,31315.656
 3 Series,2019,32550,Automatic,10984,Diesel,145,49.6,2.0,31313.291
 X3,2018,33980,Semi-Auto,18327,Diesel,145,48.7,3.0,31310.44
 3 Series,2019,29555,Automatic,5035,Diesel,145,50.4,2.0,31289.316
 X5,2016,30991,Automatic,14286,Diesel,200,47.1,3.0,31287.373
 4 Series,2019,26980,Automatic,17,Diesel,145,55.4,3.0,31282.201
 X5,2017,31992,Automatic,39000,Diesel,200,47.1,3.0,31279.123
 4 Series,2020,39225,Semi-Auto,10,Petrol,145,48.7,2.0,31275.945
 4 Series,2020,27495,Semi-Auto,10,Petrol,145,48.7,2.0,31275.945
 4 Series,2020,26950,Semi-Auto,10,Petrol,145,48.7,2.0,31275.945
 4 Series,2020,29500,Semi-Auto,10,Petrol,145,48.7,2.0,31275.945
 X3,2019,31400,Semi-Auto,13191,Petrol,145,30.4,2.0,31274.535
 Z4,2019,32995,Automatic,11,Petrol,145,38.7,2.0,31273.623
 1 Series,2019,31990,Automatic,4920,Petrol,145,34.5,2.0,31272.668
 X5,2016,31200,Automatic,23747,Hybrid,0,85.6,2.0,31272.61
 Z4,2020,30990,Semi-Auto,105,Petrol,145,38.7,2.0,31267.629
 M4,2016,30490,Semi-Auto,38422,Petrol,300,34.0,3.0,31265.94
 Z4,2019,32449,Semi-Auto,2485,Petrol,145,38.7,2.0,31264.371
 X2,2020,34360,Semi-Auto,835,Petrol,145,38.7,2.0,31260.098
 1 Series,2019,30488,Automatic,5000,Petrol,145,34.5,2.0,31256.479
 3 Series,2019,35995,Automatic,5500,Petrol,145,39.8,2.0,31244.42
 X5,2016,31999,Automatic,26185,Hybrid,0,85.6,2.0,31241.96
 4 Series,2019,30991,Semi-Auto,4762,Petrol,145,41.5,3.0,31231.58
 5 Series,2019,28000,Semi-Auto,16000,Diesel,145,60.1,3.0,31229.564
 X5,2017,29440,Automatic,40070,Diesel,205,47.1,3.0,31224.988
 3 Series,2019,33840,Automatic,123,Petrol,145,42.2,2.0,31219.61
 3 Series,2019,31790,Automatic,123,Petrol,145,42.2,2.0,31219.61
 4 Series,2019,29990,Semi-Auto,6644,Diesel,145,49.6,3.0,31211.45
 5 Series,2019,30290,Automatic,5800,Hybrid,145,49.6,2.0,31206.328
 3 Series,2019,29950,Semi-Auto,104,Diesel,145,52.3,2.0,31188.08
 3 Series,2019,32420,Semi-Auto,103,Diesel,145,52.3,2.0,31188.08
 5 Series,2019,32000,Semi-Auto,8827,Hybrid,135,156.9,2.0,31187.344
 4 Series,2020,34980,Semi-Auto,1000,Petrol,145,48.7,2.0,31177.102
 4 Series,2019,38995,Automatic,5500,Petrol,145,41.5,3.0,31176.88
 Z4,2019,31990,Semi-Auto,9950,Petrol,145,38.7,2.0,31174.172
 Z4,2019,32450,Semi-Auto,9955,Petrol,145,38.7,2.0,31174.172
 3 Series,2019,36531,Semi-Auto,6850,Petrol,145,40.4,2.0,31173.195
 2 Series,2019,33440,Automatic,10,Diesel,145,64.2,2.0,31169.64
 X6,2017,29498,Semi-Auto,40429,Diesel,200,47.1,3.0,31167.719
 5 Series,2019,30995,Semi-Auto,5271,Petrol,145,46.3,2.0,31166.412
 1 Series,2019,31791,Semi-Auto,6000,Petrol,150,34.5,2.0,31161.803
 7 Series,2017,31250,Automatic,27791,Diesel,145,53.3,3.0,31155.645
 5 Series,2019,28850,Automatic,1565,Diesel,145,60.1,2.0,31152.781
 5 Series,2019,32600,Semi-Auto,8260,Hybrid,140,156.9,2.0,31151.906
 3 Series,2020,31490,Semi-Auto,105,Diesel,145,51.4,2.0,31144.342
 X5,2017,32990,Automatic,39593,Diesel,200,47.1,3.0,31143.572
 Z4,2020,31895,Semi-Auto,10,Petrol,150,38.7,2.0,31142.348
 5 Series,2020,28990,Semi-Auto,103,Hybrid,145,62.8,2.0,31139.26
 3 Series,2019,35998,Semi-Auto,9632,Diesel,145,49.6,2.0,31136.078
 X1,2020,28999,Semi-Auto,243,Diesel,145,36.7,2.0,31133.441
 7 Series,2018,31322,Semi-Auto,39196,Diesel,145,54.3,3.0,31132.354
 5 Series,2019,34990,Semi-Auto,1800,Petrol,145,47.9,2.0,31123.787
 1 Series,2019,31993,Semi-Auto,6000,Petrol,145,34.5,2.0,31121.898
 X3,2019,30395,Semi-Auto,13563,Petrol,145,30.4,2.0,31119.96
 3 Series,2019,33875,Semi-Auto,9389,Diesel,145,49.6,2.0,31117.613
 5 Series,2019,28850,Automatic,1647,Diesel,145,60.1,2.0,31116.291
 X6,2016,30572,Semi-Auto,40246,Diesel,200,44.8,3.0,31108.79
 X2,2020,31995,Semi-Auto,1501,Diesel,145,61.4,2.0,31103.756
 3 Series,2019,31450,Semi-Auto,4460,Petrol,145,40.9,2.0,31097.438
 5 Series,2019,32995,Automatic,2000,Diesel,145,60.1,2.0,31096.727
 Z4,2019,30990,Semi-Auto,2389,Petrol,145,38.7,2.0,31095.326
 Z4,2019,31500,Automatic,1682,Petrol,145,38.7,2.0,31092.629
 Z4,2019,31450,Semi-Auto,8626,Petrol,145,38.7,2.0,31087.818
 1 Series,2019,29980,Semi-Auto,5369,Petrol,150,34.5,2.0,31087.13
 X4,2018,32000,Semi-Auto,10920,Diesel,150,42.8,2.0,31082.135
 5 Series,2019,29140,Semi-Auto,1499,Petrol,145,47.9,2.0,31082.008
 4 Series,2019,28975,Semi-Auto,3783,Diesel,150,49.6,3.0,31074.588
 1 Series,2019,30950,Semi-Auto,5453,Petrol,150,34.5,2.0,31059.309
 X3,2019,30850,Semi-Auto,14260,Petrol,145,30.4,2.0,31058.97
 5 Series,2019,28995,Automatic,13,Petrol,145,50.4,2.0,31057.113
 5 Series,2019,28975,Semi-Auto,2013,Diesel,145,60.1,2.0,31055.426
 4 Series,2019,27980,Semi-Auto,8523,Diesel,145,50.4,3.0,31046.553
 4 Series,2019,32790,Semi-Auto,8464,Diesel,145,50.4,3.0,31046.553
 1 Series,2019,31950,Semi-Auto,8600,Petrol,145,34.5,2.0,31041.18
 X2,2019,30680,Automatic,1500,Diesel,145,58.9,2.0,31032.117
 M6,2015,33500,Automatic,28314,Petrol,555,28.5,4.4,31028.332
 5 Series,2019,32995,Semi-Auto,1000,Diesel,145,60.1,2.0,31024.73
 5 Series,2019,30995,Semi-Auto,1000,Diesel,145,60.1,2.0,31024.73
 5 Series,2020,28990,Semi-Auto,103,Petrol,145,50.4,2.0,31021.441
 5 Series,2020,26990,Semi-Auto,104,Petrol,145,50.4,2.0,31021.441
 3 Series,2019,28988,Automatic,4673,Diesel,145,48.7,2.0,31010.86
 3 Series,2019,33995,Semi-Auto,3633,Petrol,145,41.5,2.0,31005.633
 5 Series,2019,31480,Semi-Auto,105,Petrol,145,48.7,2.0,31004.805
 5 Series,2019,31875,Semi-Auto,114,Petrol,145,48.7,2.0,31004.805
 1 Series,2019,29490,Semi-Auto,7656,Petrol,150,34.5,2.0,30996.277
 3 Series,2019,32995,Manual,612,Diesel,145,54.3,2.0,30992.371
 X3,2019,31190,Semi-Auto,14594,Petrol,145,30.4,2.0,30988.201
 3 Series,2019,31450,Semi-Auto,4682,Petrol,145,40.9,2.0,30985.125
 3 Series,2019,31440,Semi-Auto,4675,Petrol,145,40.9,2.0,30985.125
 5 Series,2019,30494,Semi-Auto,13098,Hybrid,135,156.9,2.0,30979.621
 Z4,2020,29990,Semi-Auto,11,Petrol,145,38.7,2.0,30977.133
 X2,2019,35470,Automatic,1566,Diesel,145,58.9,2.0,30966.207
 3 Series,2019,30850,Automatic,6272,Diesel,145,48.7,2.0,30962.81
 4 Series,2019,30804,Semi-Auto,6903,Diesel,145,49.6,3.0,30961.42
 6 Series,2019,32000,Semi-Auto,2500,Petrol,150,42.8,2.0,30952.865
 Z4,2019,31990,Automatic,11223,Petrol,145,37.2,2.0,30952.61
 X3,2019,31000,Semi-Auto,17355,Petrol,145,30.4,2.0,30949.1
 X3,2019,31200,Semi-Auto,17173,Petrol,145,30.4,2.0,30949.1
 4 Series,2019,29995,Automatic,999,Diesel,145,53.3,3.0,30939.52
 1 Series,2019,33990,Automatic,9599,Petrol,145,34.5,2.0,30935.348
 5 Series,2019,36951,Semi-Auto,7218,Petrol,150,46.3,2.0,30932.732
 X1,2020,29476,Semi-Auto,100,Diesel,145,36.7,2.0,30930.477
 3 Series,2019,30850,Automatic,7624,Diesel,145,48.7,2.0,30927.666
 3 Series,2019,28980,Automatic,6129,Diesel,145,50.4,2.0,30924.453
 M5,2016,36494,Semi-Auto,25780,Petrol,565,28.5,4.4,30918.252
 M5,2016,30181,Semi-Auto,26000,Petrol,565,28.5,4.4,30918.252
 X3,2019,31551,Semi-Auto,13570,Diesel,150,54.3,2.0,30911.883
 4 Series,2019,29582,Automatic,5684,Petrol,145,41.5,3.0,30902.734
 5 Series,2019,33562,Semi-Auto,2490,Diesel,145,60.1,2.0,30902.025
 1 Series,2019,31790,Semi-Auto,8211,Petrol,145,34.5,2.0,30900.455
 1 Series,2019,30783,Semi-Auto,6499,Petrol,145,34.5,2.0,30896.87
 5 Series,2019,29898,Semi-Auto,2743,Diesel,145,60.1,2.0,30895.57
 3 Series,2019,25229,Automatic,6890,Diesel,145,48.7,2.0,30893.465
 5 Series,2020,35793,Semi-Auto,15,Petrol,145,48.7,2.0,30892.766
 X5,2017,28400,Automatic,35061,Diesel,145,47.1,3.0,30890.531
 X5,2017,29450,Automatic,35032,Diesel,145,47.1,3.0,30890.531
 3 Series,2019,35995,Automatic,17188,Diesel,145,49.6,2.0,30886.758
 5 Series,2019,31550,Automatic,18733,Hybrid,140,141.3,2.0,30881.664
 3 Series,2019,33134,Semi-Auto,5,Diesel,145,52.3,2.0,30880.441
 5 Series,2019,29830,Automatic,123,Petrol,145,50.4,2.0,30878.1
 5 Series,2019,30980,Automatic,102,Petrol,145,50.4,2.0,30876.312
 3 Series,2020,34985,Semi-Auto,1987,Diesel,150,53.3,2.0,30872.074
 3 Series,2019,27890,Semi-Auto,1984,Diesel,145,48.7,2.0,30870.385
 X6,2016,20950,Semi-Auto,29211,Diesel,205,47.1,3.0,30863.178
 X1,2020,25490,Semi-Auto,5656,Diesel,150,47.9,2.0,30852.18
 3 Series,2019,29450,Automatic,123,Diesel,145,54.3,2.0,30845.652
 X3,2019,31000,Semi-Auto,18720,Petrol,145,30.4,2.0,30845.514
 4 Series,2019,31845,Semi-Auto,6155,Diesel,145,47.9,3.0,30840.273
 4 Series,2019,28990,Semi-Auto,5656,Diesel,150,50.4,3.0,30839.354
 7 Series,2017,30850,Automatic,19812,Diesel,145,53.3,3.0,30834.436
 5 Series,2019,33500,Semi-Auto,3215,Diesel,145,60.1,2.0,30827.033
 X5,2017,27500,Automatic,9748,Diesel,150,47.9,3.0,30826.97
 Z4,2019,31488,Automatic,3644,Petrol,145,38.7,2.0,30825.055
 Z4,2019,32989,Semi-Auto,6000,Petrol,145,38.7,2.0,30813.832
 3 Series,2019,35000,Semi-Auto,7685,Diesel,145,48.7,2.0,30812.854
 5 Series,2019,30950,Semi-Auto,3795,Diesel,145,55.4,2.0,30808.664
 4 Series,2019,31495,Semi-Auto,4919,Diesel,150,51.4,3.0,30807.031
 Z4,2019,27950,Semi-Auto,8998,Petrol,145,38.7,2.0,30806.967
 3 Series,2019,29488,Automatic,7935,Diesel,145,48.7,2.0,30795.783
 3 Series,2020,28985,Semi-Auto,2958,Petrol,145,42.2,2.0,30795.422
 4 Series,2019,30980,Semi-Auto,2649,Petrol,145,41.5,3.0,30786.55
 6 Series,2017,35000,Automatic,11541,Petrol,145,31.0,4.4,30786.076
 X2,2019,31680,Semi-Auto,103,Diesel,145,58.9,2.0,30785.355
 4 Series,2019,29806,Automatic,1649,Petrol,145,41.5,3.0,30781.48
 5 Series,2019,29840,Semi-Auto,101,Diesel,145,62.8,2.0,30778.438
 3 Series,2019,29500,Semi-Auto,5000,Diesel,145,48.7,2.0,30778.299
 X3,2019,30200,Semi-Auto,17647,Petrol,145,30.4,2.0,30775.71
 4 Series,2019,32810,Automatic,8647,Petrol,145,41.5,3.0,30774.719
 4 Series,2019,30999,Semi-Auto,8701,Petrol,145,41.5,3.0,30773.164
 5 Series,2020,29950,Semi-Auto,9,Hybrid,145,49.6,2.0,30772.643
 3 Series,2019,31000,Semi-Auto,100,Diesel,145,52.3,2.0,30770.828
 4 Series,2019,27480,Semi-Auto,6196,Diesel,145,50.4,3.0,30768.668
 1 Series,2019,31000,Semi-Auto,9888,Petrol,145,34.5,2.0,30766.342
 5 Series,2020,29990,Semi-Auto,10,Petrol,145,50.4,2.0,30765.223
 5 Series,2020,31990,Semi-Auto,10,Petrol,145,50.4,2.0,30765.223
 5 Series,2019,36500,Semi-Auto,4971,Diesel,145,55.4,2.0,30760.842
 3 Series,2019,28488,Automatic,5741,Diesel,145,48.7,2.0,30759.297
 6 Series,2018,28990,Semi-Auto,10250,Diesel,145,49.6,3.0,30747.896
 3 Series,2019,31995,Automatic,999,Petrol,145,42.2,2.0,30742.459
 Z4,2020,31350,Automatic,111,Petrol,145,38.7,2.0,30742.121
 Z4,2020,30000,Automatic,110,Petrol,145,38.7,2.0,30742.121
 1 Series,2019,31070,Automatic,6000,Petrol,145,34.5,2.0,30738.936
 5 Series,2019,34990,Semi-Auto,3425,Diesel,145,60.1,2.0,30730.326
 X3,2018,29990,Semi-Auto,20087,Diesel,145,48.7,3.0,30730.04
 X3,2018,31000,Semi-Auto,20290,Diesel,145,48.7,3.0,30730.04
 X5,2017,32000,Automatic,41567,Diesel,200,47.1,3.0,30719.777
 3 Series,2020,28990,Semi-Auto,14,Diesel,145,50.4,2.0,30714.697
 5 Series,2019,30895,Semi-Auto,10707,Hybrid,135,156.9,2.0,30703.541
 3 Series,2019,32990,Automatic,9892,Diesel,145,48.7,2.0,30700.615
 X1,2017,30980,Semi-Auto,10,Petrol,160,44.8,2.0,30694.088
 5 Series,2019,30001,Semi-Auto,13000,Hybrid,140,156.9,2.0,30692.26
 1 Series,2019,30160,Automatic,7890,Petrol,145,34.5,2.0,30690.094
 3 Series,2018,26998,Semi-Auto,1426,Petrol,145,41.5,3.0,30687.928
 1 Series,2019,30900,Automatic,5345,Petrol,145,34.5,2.0,30687.37
 5 Series,2019,30875,Semi-Auto,2135,Petrol,145,48.7,2.0,30685.379
 X5,2016,28990,Automatic,29000,Diesel,205,47.1,3.0,30678.264
 3 Series,2019,29998,Semi-Auto,3941,Petrol,145,41.5,2.0,30674.717
 3 Series,2019,26922,Semi-Auto,3853,Petrol,145,41.5,2.0,30674.717
 5 Series,2019,31990,Semi-Auto,14585,Hybrid,135,156.9,2.0,30662.96
 1 Series,2019,30000,Automatic,8501,Petrol,145,34.5,2.0,30661.248
 5 Series,2020,29950,Semi-Auto,6,Hybrid,145,49.6,2.0,30660.943
 4 Series,2019,30490,Semi-Auto,4984,Diesel,150,49.6,3.0,30657.287
 X2,2020,26780,Semi-Auto,1500,Diesel,145,61.4,2.0,30652.11
 X2,2020,32980,Semi-Auto,1500,Diesel,145,61.4,2.0,30652.11
 4 Series,2019,30890,Semi-Auto,6100,Petrol,145,41.5,3.0,30650.4
 3 Series,2019,34000,Semi-Auto,5525,Diesel,145,50.4,2.0,30647.225
 3 Series,2019,31390,Semi-Auto,5029,Petrol,145,40.9,2.0,30644.148
 5 Series,2019,32072,Semi-Auto,6215,Hybrid,145,60.1,2.0,30635.562
 Z4,2019,29941,Semi-Auto,5465,Petrol,145,38.7,2.0,30628.623
 5 Series,2019,30500,Semi-Auto,8993,Hybrid,135,156.9,2.0,30625.395
 X2,2020,29995,Semi-Auto,1501,Petrol,145,38.7,2.0,30615.738
 4 Series,2019,29626,Automatic,1938,Petrol,145,41.5,3.0,30601.72
 4 Series,2020,33999,Semi-Auto,4000,Diesel,150,65.7,2.0,30600.375
 X5,2016,29000,Automatic,20851,Diesel,200,47.1,3.0,30599.285
 5 Series,2019,30570,Automatic,3067,Hybrid,145,49.6,2.0,30598.768
 4 Series,2019,35999,Automatic,1500,Diesel,145,60.1,2.0,30598.463
 X2,2020,26980,Semi-Auto,2501,Petrol,150,38.7,2.0,30586.516
 5 Series,2019,30500,Semi-Auto,7536,Petrol,145,46.3,2.0,30577.182
 4 Series,2020,28995,Semi-Auto,121,Petrol,145,48.7,2.0,30574.783
 1 Series,2020,29998,Semi-Auto,934,Diesel,150,48.7,2.0,30568.793
 1 Series,2020,31495,Semi-Auto,1250,Diesel,145,48.7,2.0,30559.191
 4 Series,2019,31480,Semi-Auto,7217,Diesel,145,47.9,3.0,30558.385
 3 Series,2019,31450,Semi-Auto,4568,Petrol,145,41.5,2.0,30556.441
 5 Series,2019,30450,Semi-Auto,10191,Hybrid,135,156.9,2.0,30555.785
 4 Series,2019,30766,Automatic,123,Diesel,145,60.1,2.0,30555.115
 X6,2016,31995,Semi-Auto,39026,Diesel,205,47.1,3.0,30552.959
 3 Series,2019,34990,Semi-Auto,8005,Petrol,145,40.4,2.0,30550.207
 3 Series,2019,30980,Semi-Auto,105,Diesel,145,52.3,2.0,30549.316
 4 Series,2019,29990,Semi-Auto,10013,Diesel,145,49.6,3.0,30545.625
 4 Series,2019,30532,Automatic,8402,Petrol,145,41.5,3.0,30544.87
 X3,2019,30200,Semi-Auto,19915,Petrol,145,30.4,2.0,30544.43
 5 Series,2019,28836,Automatic,2891,Diesel,145,60.1,2.0,30538.947
 1 Series,2019,30123,Semi-Auto,7500,Petrol,145,34.5,2.0,30536.049
 Z4,2020,29490,Semi-Auto,13,Petrol,145,38.7,2.0,30530.838
 Z4,2020,30990,Semi-Auto,12,Petrol,145,38.7,2.0,30530.838
 X1,2020,29450,Semi-Auto,10,Diesel,145,40.9,2.0,30528.1
 5 Series,2019,28650,Semi-Auto,105,Diesel,145,60.1,2.0,30525.348
 X5,2016,31929,Automatic,25701,Diesel,200,47.1,3.0,30523.102
 X1,2020,28940,Semi-Auto,1550,Diesel,145,53.3,2.0,30519.238
 4 Series,2019,30898,Semi-Auto,6123,Diesel,150,49.6,3.0,30519.225
 5 Series,2019,27875,Semi-Auto,3905,Diesel,145,55.4,2.0,30516.002
 5 Series,2019,29980,Semi-Auto,1500,Petrol,145,50.4,2.0,30515.197
 5 Series,2019,29480,Semi-Auto,1500,Petrol,145,50.4,2.0,30515.197
 X3,2019,30990,Semi-Auto,20423,Petrol,145,30.4,2.0,30513.678
 3 Series,2019,30962,Semi-Auto,3523,Diesel,145,48.7,2.0,30512.75
 2 Series,2020,33065,Semi-Auto,102,Diesel,145,49.6,2.0,30505.432
 X5,2016,26250,Automatic,29614,Diesel,205,47.1,3.0,30500.877
 X1,2020,29991,Semi-Auto,2000,Diesel,145,47.9,2.0,30492.38
 1 Series,2019,30240,Automatic,7791,Petrol,145,34.5,2.0,30478.176
 5 Series,2018,33995,Automatic,3001,Diesel,145,53.3,3.0,30476.635
 4 Series,2019,30980,Semi-Auto,8215,Diesel,150,50.4,3.0,30474.855
 4 Series,2019,28480,Semi-Auto,7384,Diesel,145,51.4,3.0,30470.16
 7 Series,2017,30998,Semi-Auto,22879,Petrol,205,40.4,3.0,30468.37
 5 Series,2019,31980,Automatic,1980,Petrol,145,48.7,2.0,30466.68
 5 Series,2020,29450,Semi-Auto,10,Petrol,145,36.2,2.0,30465.848
 5 Series,2019,31460,Automatic,1200,Diesel,145,62.8,2.0,30449.715
 4 Series,2019,35000,Automatic,110,Diesel,145,65.7,2.0,30447.506
 4 Series,2019,33495,Automatic,99,Petrol,145,48.7,2.0,30447.129
 4 Series,2019,28970,Semi-Auto,11075,Diesel,145,50.4,3.0,30439.95
 X1,2019,34791,Semi-Auto,3796,Diesel,145,36.7,2.0,30436.305
 1 Series,2019,28975,Semi-Auto,7110,Petrol,150,34.5,2.0,30436.229
 1 Series,2020,30995,Semi-Auto,1000,Diesel,145,48.7,2.0,30432.295
 1 Series,2020,31998,Semi-Auto,1560,Diesel,150,48.7,2.0,30429.11
 X1,2020,29991,Semi-Auto,2000,Diesel,145,40.9,2.0,30422.418
 5 Series,2019,28495,Automatic,677,Petrol,145,50.4,2.0,30421.854
 M4,2015,29997,Semi-Auto,20100,Petrol,300,34.0,3.0,30411.564
 5 Series,2020,29990,Semi-Auto,12,Hybrid,150,62.8,2.0,30409.564
 7 Series,2016,33000,Semi-Auto,18190,Petrol,200,40.4,3.0,30406.426
 X6,2016,29480,Semi-Auto,24864,Diesel,205,47.1,3.0,30389.326
 5 Series,2019,28500,Automatic,9676,Hybrid,135,156.9,2.0,30381.145
 3 Series,2019,27998,Semi-Auto,4250,Diesel,145,48.7,2.0,30380.484
 5 Series,2019,29895,Semi-Auto,1000,Petrol,145,50.4,2.0,30379.025
 5 Series,2019,30450,Semi-Auto,4885,Diesel,145,60.1,2.0,30373.492
 4 Series,2019,31995,Semi-Auto,1297,Diesel,145,58.9,2.0,30367.049
 Z4,2019,30969,Automatic,5500,Petrol,145,38.7,2.0,30362.227
 4 Series,2019,34590,Automatic,999,Petrol,145,45.6,2.0,30359.377
 5 Series,2019,32500,Automatic,7000,Diesel,145,55.4,2.0,30333.203
 X6,2016,26990,Semi-Auto,32711,Diesel,200,47.1,3.0,30331.908
 X2,2020,29990,Semi-Auto,5,Petrol,145,42.8,1.5,30324.729
 2 Series,2019,29995,Semi-Auto,460,Petrol,150,38.2,3.0,30323.03
 2 Series,2020,30995,Semi-Auto,1000,Diesel,145,48.7,2.0,30321.883
 X1,2020,30495,Semi-Auto,3530,Diesel,145,40.9,2.0,30317.146
 5 Series,2019,28488,Automatic,205,Diesel,145,65.7,2.0,30315.2
 5 Series,2019,40985,Semi-Auto,7998,Petrol,145,50.4,2.0,30311.26
 3 Series,2020,28990,Semi-Auto,5656,Diesel,145,52.3,2.0,30309.363
 X6,2016,29890,Semi-Auto,27838,Diesel,200,47.1,3.0,30308.475
 5 Series,2019,28789,Automatic,3890,Diesel,145,60.1,2.0,30297.607
 X2,2020,30413,Semi-Auto,101,Petrol,145,39.2,2.0,30290.73
 X1,2019,32495,Automatic,6,Diesel,145,52.3,2.0,30273.705
 4 Series,2019,29990,Semi-Auto,9448,Petrol,145,41.5,3.0,30272.652
 4 Series,2020,32583,Automatic,2500,Petrol,145,48.7,2.0,30267.135
 3 Series,2019,31275,Semi-Auto,5494,Petrol,145,41.5,2.0,30264.305
 3 Series,2019,28980,Semi-Auto,5441,Petrol,145,41.5,2.0,30264.305
 5 Series,2019,30000,Semi-Auto,1678,Petrol,145,50.4,2.0,30248.586
 4 Series,2019,25374,Automatic,151,Diesel,145,60.1,2.0,30246.404
 X1,2019,27888,Manual,99,Diesel,145,48.7,2.0,30246.334
 3 Series,2020,36995,Manual,103,Diesel,145,54.3,2.0,30239.135
 1 Series,2019,29950,Semi-Auto,10,Diesel,145,48.7,2.0,30238.367
 X6,2016,28950,Semi-Auto,31585,Diesel,200,47.1,3.0,30231.408
 X2,2020,23990,Semi-Auto,1576,Petrol,150,38.7,2.0,30227.45
 X5,2016,29985,Automatic,80058,Diesel,235,42.8,3.0,30216.826
 3 Series,2019,32790,Automatic,3750,Diesel,145,52.3,2.0,30215.602
 5 Series,2019,28990,Semi-Auto,5000,Petrol,145,48.7,2.0,30213.027
 X1,2020,26895,Semi-Auto,1074,Diesel,145,40.9,2.0,30208.004
 3 Series,2020,24850,Semi-Auto,10,Diesel,145,52.3,2.0,30203.83
 5 Series,2019,30000,Automatic,6000,Petrol,145,46.3,2.0,30193.607
 3 Series,2019,26826,Automatic,7015,Petrol,145,41.5,3.0,30188.266
 4 Series,2019,29676,Automatic,7365,Petrol,145,41.5,3.0,30180.475
 1 Series,2020,32990,Semi-Auto,6870,Diesel,145,48.7,2.0,30176.342
 3 Series,2019,28348,Automatic,4884,Petrol,145,41.5,2.0,30167.291
 5 Series,2019,34999,Automatic,7195,Diesel,145,60.1,2.0,30166.223
 5 Series,2019,37921,Semi-Auto,6311,Petrol,150,46.3,2.0,30160.434
 3 Series,2019,25000,Semi-Auto,19470,Diesel,145,51.4,3.0,30159.355
 X2,2019,31084,Semi-Auto,3096,Petrol,145,36.2,2.0,30153.525
